# step Etot Epot T p 
0 -3642.0381 -3642.0381 0.0 459.3182 
1 -3952.6623 -3952.6623 0.0 372.6317 
2 -4183.8382 -4183.8382 0.0 349.4451 
3 -4314.6964 -4314.6964 0.0 344.3598 
4 -4395.5679 -4395.5679 0.0 343.239 
5 -4568.2122 -4568.2122 0.0 323.0481 
6 -4614.8415 -4614.8415 0.0 299.4285 
7 -4537.7567 -4537.7567 0.0 271.6669 
8 -4615.73 -4615.73 0.0 302.5978 
9 -4720.077 -4720.077 0.0 312.0277 
10 -4716.9663 -4716.9663 0.0 316.7039 
11 -4731.8597 -4731.8597 0.0 314.8133 
12 -4801.0494 -4801.0494 0.0 307.5154 
13 -4799.8448 -4799.8448 0.0 297.2739 
14 -4809.266 -4809.266 0.0 302.9406 
15 -5043.0077 -5043.0077 0.0 268.6651 
16 -5159.6069 -5159.6069 0.0 234.7339 
17 -5159.3197 -5159.3197 0.0 200.5742 
18 -5173.5473 -5173.5473 0.0 217.8069 
19 -5173.4376 -5173.4376 0.0 216.0897 
20 -5173.547 -5173.547 0.0 217.5183 
21 -5173.5447 -5173.5447 0.0 217.807 
22 -5309.0848 -5309.0848 0.0 229.1241 
23 -5363.6381 -5363.6381 0.0 237.1662 
24 -5339.1745 -5339.1745 0.0 242.0118 
25 -5364.9709 -5364.9709 0.0 238.3197 
26 -5450.9847 -5450.9847 0.0 226.9118 
27 -5445.467 -5445.467 0.0 211.9853 
28 -5459.821 -5459.821 0.0 220.7778 
29 -5459.6801 -5459.6801 0.0 219.9478 
30 -5459.8197 -5459.8197 0.0 220.6953 
31 -5459.8208 -5459.8208 0.0 220.7602 
32 -5459.8208 -5459.8208 0.0 220.7778 
33 -5540.2641 -5540.2641 0.0 221.6729 
34 -5556.0976 -5556.0976 0.0 219.9364 
35 -5507.4275 -5507.4275 0.0 215.5301 
36 -5558.1289 -5558.1289 0.0 220.6308 
37 -5632.3702 -5632.3702 0.0 211.588 
38 -5628.607 -5628.607 0.0 199.6606 
39 -5640.3463 -5640.3463 0.0 206.5526 
40 -5740.4596 -5740.4596 0.0 199.2571 
41 -5739.2126 -5739.2126 0.0 188.727 
42 -5752.377 -5752.377 0.0 194.5241 
43 -5844.1797 -5844.1797 0.0 180.9404 
44 -5852.1697 -5852.1697 0.0 164.7112 
45 -5775.7892 -5775.7892 0.0 145.8906 
46 -5858.7776 -5858.7776 0.0 171.6002 
47 -5858.7163 -5858.7163 0.0 170.9306 
48 -5858.7774 -5858.7774 0.0 171.5335 
49 -5933.3442 -5933.3442 0.0 175.5902 
50 -5930.9005 -5930.9005 0.0 176.9205 
51 -5941.7343 -5941.7343 0.0 176.5542 
52 -6009.5328 -6009.5328 0.0 164.8646 
53 -5984.1361 -5984.1361 0.0 150.0159 
54 -6011.9318 -6011.9318 0.0 161.7492 
55 -6011.6575 -6011.6575 0.0 160.6602 
56 -6011.929 -6011.929 0.0 161.6412 
57 -6011.9316 -6011.9316 0.0 161.7356 
58 -6011.9315 -6011.9315 0.0 161.7492 
59 -6083.9649 -6083.9649 0.0 158.5479 
60 -6028.8951 -6028.8951 0.0 150.9138 
61 -6084.101 -6084.101 0.0 157.9844 
62 -6084.1677 -6084.1677 0.0 158.2014 
63 -6084.169 -6084.169 0.0 158.1715 
64 -6137.4961 -6137.4961 0.0 143.5594 
65 -6065.3227 -6065.3227 0.0 124.4742 
66 -6137.6898 -6137.6898 0.0 145.2268 
67 -6137.7403 -6137.7403 0.0 144.6868 
68 -6137.7413 -6137.7413 0.0 144.7454 
69 -6192.3862 -6192.3862 0.0 136.8141 
70 -6107.9245 -6107.9245 0.0 123.9336 
71 -6193.059 -6193.059 0.0 137.9013 
72 -6247.4271 -6247.4271 0.0 128.3809 
73 -6146.8253 -6146.8253 0.0 113.3699 
74 -6248.9577 -6248.9577 0.0 130.1297 
75 -6248.943 -6248.943 0.0 129.9603 
76 -6248.9576 -6248.9576 0.0 130.1129 
77 -6300.2111 -6300.2111 0.0 139.2573 
78 -6214.588 -6214.588 0.0 143.4222 
79 -6301.1788 -6301.1788 0.0 138.3988 
80 -6301.1694 -6301.1694 0.0 138.4882 
81 -6301.1788 -6301.1788 0.0 138.4078 
82 -6344.5109 -6344.5109 0.0 138.5383 
83 -6252.1878 -6252.1878 0.0 133.5531 
84 -6346.6138 -6346.6138 0.0 138.9003 
85 -6346.5934 -6346.5934 0.0 138.872 
86 -6346.6137 -6346.6137 0.0 138.8975 
87 -6393.5034 -6393.5034 0.0 129.7752 
88 -6323.3659 -6323.3659 0.0 116.1626 
89 -6394.0033 -6394.0033 0.0 130.8952 
90 -6394.0007 -6394.0007 0.0 130.7853 
91 -6394.0037 -6394.0037 0.0 130.8657 
92 -6435.6876 -6435.6876 0.0 130.5706 
93 -6352.0102 -6352.0102 0.0 125.6094 
94 -6437.3109 -6437.3109 0.0 130.9504 
95 -6437.2973 -6437.2973 0.0 130.9183 
96 -6437.3109 -6437.3109 0.0 130.9473 
97 -6475.9243 -6475.9243 0.0 125.4413 
98 -6397.6842 -6397.6842 0.0 115.5369 
99 -6477.4839 -6477.4839 0.0 126.6866 
100 -6477.471 -6477.471 0.0 126.568 
101 -6477.4839 -6477.4839 0.0 126.6749 
102 -6468.376 -6468.376 0.0 136.2649 
103 -6492.2508 -6492.2508 0.0 131.759 
104 -6456.9928 -6456.9928 0.0 140.9869 
105 -6517.476 -6517.476 0.0 136.7691 
106 -6516.8973 -6516.8973 0.0 137.3857 
107 -6517.4726 -6517.4726 0.0 136.8326 
108 -6517.4761 -6517.4761 0.0 136.7851 
109 -6506.2447 -6506.2447 0.0 152.1446 
110 -6544.5376 -6544.5376 0.0 144.9353 
111 -6555.8531 -6555.8531 0.0 124.3816 
112 -6360.6145 -6360.6145 0.0 97.8134 
113 -6576.242 -6576.242 0.0 134.2769 
114 -6576.0582 -6576.0582 0.0 133.3409 
115 -6576.2422 -6576.2422 0.0 134.1838 
116 -6580.2637 -6580.2637 0.0 123.9278 
117 -6393.207 -6393.207 0.0 107.0885 
118 -6602.0021 -6602.0021 0.0 129.6608 
119 -6601.7968 -6601.7968 0.0 129.1556 
120 -6602.0011 -6602.0011 0.0 129.611 
121 -6602.0021 -6602.0021 0.0 129.6458 
122 -6628.6783 -6628.6783 0.0 129.8936 
123 -6535.6982 -6535.6982 0.0 126.3805 
124 -6633.2644 -6633.2644 0.0 130.2059 
125 -6633.2216 -6633.2216 0.0 130.1875 
126 -6633.2642 -6633.2642 0.0 130.2043 
127 -6633.2645 -6633.2645 0.0 130.2055 
128 -6658.9765 -6658.9765 0.0 148.7549 
129 -6589.5824 -6589.5824 0.0 164.0509 
130 -6661.4779 -6661.4779 0.0 144.8007 
131 -6690.6626 -6690.6626 0.0 150.5219 
132 -6650.5882 -6650.5882 0.0 153.7614 
133 -6690.8453 -6690.8453 0.0 150.0616 
134 -6690.8642 -6690.8642 0.0 150.1756 
135 -6716.7579 -6716.7579 0.0 159.1066 
136 -6675.3152 -6675.3152 0.0 165.3398 
137 -6717.1823 -6717.1823 0.0 158.2346 
138 -6743.5353 -6743.5353 0.0 159.7497 
139 -6705.3549 -6705.3549 0.0 158.8054 
140 -6743.7762 -6743.7762 0.0 159.7139 
141 -6743.7797 -6743.7797 0.0 159.7191 
142 -6775.8101 -6775.8101 0.0 162.3859 
143 -6756.7345 -6756.7345 0.0 163.4267 
144 -6776.2409 -6776.2409 0.0 162.6077 
145 -6807.4464 -6807.4464 0.0 171.4564 
146 -6786.1788 -6786.1788 0.0 178.7334 
147 -6807.6829 -6807.6829 0.0 172.2496 
148 -6807.6813 -6807.6813 0.0 172.1709 
149 -6807.6829 -6807.6829 0.0 172.2342 
150 -6834.1596 -6834.1596 0.0 186.6343 
151 -6793.9638 -6793.9638 0.0 199.1188 
152 -6834.4541 -6834.4541 0.0 185.2897 
153 -6834.4518 -6834.4518 0.0 185.4254 
154 -6834.4541 -6834.4541 0.0 185.3203 
155 -6860.0712 -6860.0712 0.0 188.8356 
156 -6806.5779 -6806.5779 0.0 190.1982 
157 -6861.1662 -6861.1662 0.0 188.4017 
158 -6861.1567 -6861.1567 0.0 188.4484 
159 -6861.1662 -6861.1662 0.0 188.4074 
160 -6892.232 -6892.232 0.0 193.4211 
161 -6846.6831 -6846.6831 0.0 196.1681 
162 -6892.4666 -6892.4666 0.0 193.0367 
163 -6892.4715 -6892.4715 0.0 193.09 
164 -6892.4717 -6892.4717 0.0 193.0816 
165 -6925.7978 -6925.7978 0.0 199.0121 
166 -6890.8782 -6890.8782 0.0 203.5471 
167 -6925.4612 -6925.4612 0.0 198.5008 
168 -6925.7746 -6925.7746 0.0 198.9683 
169 -6925.7761 -6925.7761 0.0 199.0142 
170 -6925.776 -6925.776 0.0 199.0193 
171 -6955.5613 -6955.5613 0.0 199.6005 
172 -6934.0759 -6934.0759 0.0 199.4192 
173 -6955.7538 -6955.7538 0.0 199.6108 
174 -6955.756 -6955.756 0.0 199.6107 
175 -6936.51 -6936.51 0.0 213.7691 
176 -6970.8364 -6970.8364 0.0 206.2652 
177 -6905.5067 -6905.5067 0.0 212.4741 
178 -6988.0887 -6988.0887 0.0 209.4684 
179 -6987.9276 -6987.9276 0.0 209.1982 
180 -6988.0882 -6988.0882 0.0 209.4419 
181 -6988.0889 -6988.0889 0.0 209.4591 
182 -6988.3412 -6988.3412 0.0 196.2448 
183 -6795.3478 -6795.3478 0.0 177.7367 
184 -7012.2515 -7012.2515 0.0 203.4543 
185 -7012.0238 -7012.0238 0.0 202.7904 
186 -7012.2502 -7012.2502 0.0 203.3885 
187 -7012.2516 -7012.2516 0.0 203.4386 
188 -6988.4402 -6988.4402 0.0 190.5498 
189 -7033.8576 -7033.8576 0.0 198.919 
190 -7033.6463 -7033.6463 0.0 199.416 
191 -7033.8557 -7033.8557 0.0 198.9692 
192 -7033.8576 -7033.8576 0.0 198.9249 
193 -7018.1854 -7018.1854 0.0 197.0007 
194 -7052.578 -7052.578 0.0 198.8293 
195 -7042.8668 -7042.8668 0.0 178.8082 
196 -7071.116 -7071.116 0.0 190.5518 
197 -7066.4158 -7066.4158 0.0 195.8673 
198 -7088.7117 -7088.7117 0.0 193.6464 
199 -7080.4666 -7080.4666 0.0 197.7099 
200 -7103.8248 -7103.8248 0.0 196.0998 
201 -7101.5066 -7101.5066 0.0 189.5963 
202 -7119.2998 -7119.2998 0.0 193.5257 
203 -7119.1254 -7119.1254 0.0 193.1868 
204 -7119.2983 -7119.2983 0.0 193.4924 
205 -7119.2999 -7119.2999 0.0 193.5216 
206 -7121.2125 -7121.2125 0.0 170.7954 
207 -7005.8901 -7005.8901 0.0 144.6491 
208 -7134.7754 -7134.7754 0.0 182.2337 
209 -7134.6477 -7134.6477 0.0 181.1273 
210 -7134.7747 -7134.7747 0.0 182.1235 
211 -7134.7755 -7134.7755 0.0 182.2032 
212 -7139.0906 -7139.0906 0.0 181.5687 
213 -7037.9657 -7037.9657 0.0 177.6657 
214 -7150.141 -7150.141 0.0 182.2859 
215 -7150.0341 -7150.0341 0.0 182.2463 
216 -7150.1406 -7150.1406 0.0 182.2822 
217 -7150.1411 -7150.1411 0.0 182.285 
218 -7163.8924 -7163.8924 0.0 182.4963 
219 -7097.781 -7097.781 0.0 180.6309 
220 -7168.0654 -7168.0654 0.0 182.6699 
221 -7168.0271 -7168.0271 0.0 182.6629 
222 -7168.0653 -7168.0653 0.0 182.6693 
223 -7176.4 -7176.4 0.0 191.7118 
224 -7099.3212 -7099.3212 0.0 198.1782 
225 -7183.2168 -7183.2168 0.0 188.4042 
226 -7183.1531 -7183.1531 0.0 188.7541 
227 -7183.2166 -7183.2166 0.0 188.4394 
228 -7183.2169 -7183.2169 0.0 188.4166 
229 -7198.7699 -7198.7699 0.0 196.948 
230 -7146.9112 -7146.9112 0.0 203.6279 
231 -7201.1465 -7201.1465 0.0 194.8632 
232 -7201.1241 -7201.1241 0.0 195.078 
233 -7201.1465 -7201.1465 0.0 194.8847 
234 -7213.4485 -7213.4485 0.0 196.56 
235 -7151.6982 -7151.6982 0.0 196.2558 
236 -7217.4659 -7217.4659 0.0 196.2405 
237 -7217.43 -7217.43 0.0 196.2825 
238 -7217.466 -7217.466 0.0 196.2448 
239 -7233.1139 -7233.1139 0.0 188.9781 
240 -7177.3503 -7177.3503 0.0 180.0266 
241 -7235.7903 -7235.7903 0.0 191.1917 
242 -7235.7684 -7235.7684 0.0 190.9764 
243 -7235.7906 -7235.7906 0.0 191.1702 
244 -7247.6862 -7247.6862 0.0 197.7651 
245 -7180.0158 -7180.0158 0.0 202.8107 
246 -7252.3844 -7252.3844 0.0 195.676 
247 -7252.3437 -7252.3437 0.0 195.8944 
248 -7252.3843 -7252.3843 0.0 195.6981 
249 -7283.1812 -7283.1812 0.0 205.1497 
250 -7278.872 -7278.872 0.0 215.0926 
251 -7285.8324 -7285.8324 0.0 208.8358 
252 -7285.7741 -7285.7741 0.0 209.4462 
253 -7285.8331 -7285.8331 0.0 208.8966 
254 -7285.833 -7285.833 0.0 208.8817 
255 -7285.8331 -7285.8331 0.0 208.8966 
256 -7252.8702 -7252.8702 0.0 208.6179 
257 -7299.0477 -7299.0477 0.0 209.9021 
258 -7255.8778 -7255.8778 0.0 215.9179 
259 -7309.8766 -7309.8766 0.0 212.6248 
260 -7309.7753 -7309.7753 0.0 212.3867 
261 -7309.8762 -7309.8762 0.0 212.6013 
262 -7309.8767 -7309.8767 0.0 212.6168 
263 -7287.0522 -7287.0522 0.0 231.4395 
264 -7325.4008 -7325.4008 0.0 220.365 
265 -7325.2529 -7325.2529 0.0 219.6128 
266 -7325.4002 -7325.4002 0.0 220.2899 
267 -7325.401 -7325.401 0.0 220.3452 
268 -7315.1089 -7315.1089 0.0 210.5673 
269 -7340.8478 -7340.8478 0.0 216.3349 
270 -7334.5454 -7334.5454 0.0 196.3486 
271 -7355.1116 -7355.1116 0.0 207.5528 
272 -7342.7426 -7342.7426 0.0 202.0643 
273 -7367.6714 -7367.6714 0.0 205.6968 
274 -7348.6666 -7348.6666 0.0 217.0744 
275 -7378.5872 -7378.5872 0.0 210.4953 
276 -7378.4811 -7378.4811 0.0 210.0431 
277 -7378.5865 -7378.5865 0.0 210.4503 
278 -7378.5871 -7378.5871 0.0 210.4893 
279 -7362.3922 -7362.3922 0.0 221.7706 
280 -7389.0708 -7389.0708 0.0 215.3457 
281 -7388.812 -7388.812 0.0 216.061 
282 -7389.0688 -7389.0688 0.0 215.418 
283 -7389.0709 -7389.0709 0.0 215.3567 
284 -7370.5891 -7370.5891 0.0 235.4486 
285 -7399.0386 -7399.0386 0.0 223.3433 
286 -7389.8438 -7389.8438 0.0 230.745 
287 -7409.3328 -7409.3328 0.0 226.8729 
288 -7409.1443 -7409.1443 0.0 227.3107 
289 -7409.3316 -7409.3316 0.0 226.9171 
290 -7409.3328 -7409.3328 0.0 226.881 
291 -7406.7654 -7406.7654 0.0 224.7072 
292 -7419.6481 -7419.6481 0.0 226.1693 
293 -7419.5222 -7419.5222 0.0 226.0544 
294 -7419.647 -7419.647 0.0 226.1582 
295 -7419.6481 -7419.6481 0.0 226.1681 
296 -7419.6481 -7419.6481 0.0 226.1693 
297 -7424.477 -7424.477 0.0 225.4246 
298 -7358.9681 -7358.9681 0.0 223.0947 
299 -7430.9459 -7430.9459 0.0 225.9539 
300 -7430.8847 -7430.8847 0.0 225.9151 
301 -7430.9455 -7430.9455 0.0 225.9502 
302 -7430.9458 -7430.9458 0.0 225.953 
303 -7430.9459 -7430.9459 0.0 225.9539 
304 -7433.9333 -7433.9333 0.0 236.103 
305 -7367.3681 -7367.3681 0.0 244.3133 
306 -7441.0984 -7441.0984 0.0 231.7214 
307 -7441.0308 -7441.0308 0.0 232.1783 
308 -7441.098 -7441.098 0.0 231.7673 
309 -7441.0984 -7441.0984 0.0 231.7334 
310 -7447.4731 -7447.4731 0.0 240.7002 
311 -7394.1116 -7394.1116 0.0 248.0741 
312 -7452.0018 -7452.0018 0.0 237.3819 
313 -7451.9596 -7451.9596 0.0 237.7252 
314 -7452.0015 -7452.0015 0.0 237.4164 
315 -7452.0018 -7452.0018 0.0 237.3915 
316 -7460.5503 -7460.5503 0.0 246.1071 
317 -7422.9956 -7422.9956 0.0 253.6378 
318 -7462.7607 -7462.7607 0.0 243.5139 
319 -7462.7408 -7462.7408 0.0 243.7784 
320 -7462.7608 -7462.7608 0.0 243.5404 
321 -7473.9559 -7473.9559 0.0 247.8568 
322 -7451.2832 -7451.2832 0.0 251.3185 
323 -7474.3959 -7474.3959 0.0 247.2007 
324 -7474.3919 -7474.3919 0.0 247.2676 
325 -7474.3959 -7474.3959 0.0 247.2074 
326 -7482.7751 -7482.7751 0.0 250.7654 
327 -7457.4521 -7457.4521 0.0 253.3773 
328 -7483.7886 -7483.7886 0.0 249.9696 
329 -7483.7801 -7483.7801 0.0 250.0517 
330 -7483.7887 -7483.7887 0.0 249.9778 
331 -7483.7887 -7483.7887 0.0 249.9755 
332 -7496.3665 -7496.3665 0.0 253.4457 
333 -7489.1952 -7489.1952 0.0 256.4592 
334 -7496.5493 -7496.5493 0.0 253.8942 
335 -7496.4789 -7496.4789 0.0 254.1648 
336 -7496.5489 -7496.5489 0.0 253.9214 
337 -7496.5493 -7496.5493 0.0 253.8984 
338 -7514.5619 -7514.5619 0.0 259.369 
339 -7521.3413 -7521.3413 0.0 264.7274 
340 -7516.4465 -7516.4465 0.0 270.0649 
341 -7521.3744 -7521.3744 0.0 265.2614 
342 -7521.3753 -7521.3753 0.0 265.1791 
343 -7521.3753 -7521.3753 0.0 265.1938 
344 -7536.2982 -7536.2982 0.0 270.3561 
345 -7533.8848 -7533.8848 0.0 275.2035 
346 -7537.4496 -7537.4496 0.0 272.1424 
347 -7548.5389 -7548.5389 0.0 277.4648 
348 -7534.2223 -7534.2223 0.0 281.975 
349 -7548.5708 -7548.5708 0.0 276.9707 
350 -7548.5902 -7548.5902 0.0 277.1568 
351 -7563.948 -7563.948 0.0 282.1534 
352 -7560.8844 -7560.8844 0.0 286.8265 
353 -7565.0014 -7565.0014 0.0 283.7461 
354 -7564.9891 -7564.9891 0.0 283.5885 
355 -7565.001 -7565.001 0.0 283.7303 
356 -7565.0013 -7565.0013 0.0 283.7443 
357 -7565.0014 -7565.0014 0.0 283.7461 
358 -7578.0306 -7578.0306 0.0 286.251 
359 -7562.7754 -7562.7754 0.0 288.479 
360 -7577.9931 -7577.9931 0.0 286.0179 
361 -7578.0557 -7578.0557 0.0 286.1661 
362 -7590.6777 -7590.6777 0.0 290.8911 
363 -7563.3756 -7563.3756 0.0 295.588 
364 -7591.3228 -7591.3228 0.0 290.0495 
365 -7591.3185 -7591.3185 0.0 290.1339 
366 -7591.323 -7591.323 0.0 290.0586 
367 -7596.61 -7596.61 0.0 300.3336 
368 -7533.1955 -7533.1955 0.0 309.9839 
369 -7602.6885 -7602.6885 0.0 296.0989 
370 -7602.6332 -7602.6332 0.0 296.5288 
371 -7602.6884 -7602.6884 0.0 296.142 
372 -7612.9774 -7612.9774 0.0 296.8616 
373 -7565.3696 -7565.3696 0.0 297.3439 
374 -7615.9388 -7615.9388 0.0 296.676 
375 -7615.9128 -7615.9128 0.0 296.6961 
376 -7615.9392 -7615.9392 0.0 296.6779 
377 -7615.9392 -7615.9392 0.0 296.6776 
378 -7615.9392 -7615.9392 0.0 296.6779 
379 -7627.5852 -7627.5852 0.0 295.9379 
380 -7583.6593 -7583.6593 0.0 294.8478 
381 -7629.8784 -7629.8784 0.0 296.2003 
382 -7629.8589 -7629.8589 0.0 296.1756 
383 -7629.8786 -7629.8786 0.0 296.1978 
384 -7635.1686 -7635.1686 0.0 296.6385 
385 -7571.5529 -7571.5529 0.0 295.5939 
386 -7641.3017 -7641.3017 0.0 296.6406 
387 -7641.2437 -7641.2437 0.0 296.6525 
388 -7641.3014 -7641.3014 0.0 296.6419 
389 -7641.3016 -7641.3016 0.0 296.641 
390 -7647.7996 -7647.7996 0.0 301.7284 
391 -7586.1673 -7586.1673 0.0 305.3219 
392 -7653.3314 -7653.3314 0.0 299.8643 
393 -7653.2793 -7653.2793 0.0 300.0621 
394 -7653.3312 -7653.3312 0.0 299.8842 
395 -7653.3316 -7653.3316 0.0 299.8707 
396 -7666.089 -7666.089 0.0 300.0015 
397 -7622.0149 -7622.0149 0.0 299.5023 
398 -7668.1834 -7668.1834 0.0 300.0437 
399 -7668.1654 -7668.1654 0.0 300.0419 
400 -7668.1837 -7668.1837 0.0 300.0434 
401 -7679.9118 -7679.9118 0.0 304.2296 
402 -7633.2361 -7633.2361 0.0 308.0024 
403 -7682.4747 -7682.4747 0.0 303.0473 
404 -7682.453 -7682.453 0.0 303.1672 
405 -7682.4746 -7682.4746 0.0 303.0594 
406 -7687.5153 -7687.5153 0.0 310.2998 
407 -7625.8964 -7625.8964 0.0 316.4732 
408 -7693.4194 -7693.4194 0.0 307.3929 
409 -7693.366 -7693.366 0.0 307.6935 
410 -7693.4191 -7693.4191 0.0 307.4232 
411 -7693.4194 -7693.4194 0.0 307.4036 
412 -7693.4194 -7693.4194 0.0 307.3929 
413 -7700.7893 -7700.7893 0.0 302.9342 
414 -7652.2352 -7652.2352 0.0 297.5954 
415 -7704.4713 -7704.4713 0.0 304.6997 
416 -7704.4395 -7704.4395 0.0 304.5293 
417 -7704.4716 -7704.4716 0.0 304.6827 
418 -7704.4715 -7704.4715 0.0 304.6864 
419 -7704.4716 -7704.4716 0.0 304.6826 
420 -7715.8868 -7715.8868 0.0 306.8819 
421 -7684.6379 -7684.6379 0.0 308.9162 
422 -7716.9699 -7716.9699 0.0 306.4101 
423 -7716.962 -7716.962 0.0 306.4578 
424 -7716.9702 -7716.9702 0.0 306.4157 
425 -7729.8278 -7729.8278 0.0 311.655 
426 -7706.3098 -7706.3098 0.0 317.0511 
427 -7730.1771 -7730.1771 0.0 310.9149 
428 -7730.1754 -7730.1754 0.0 310.9886 
429 -7730.1775 -7730.1775 0.0 310.9301 
430 -7738.8387 -7738.8387 0.0 315.4001 
431 -7704.7548 -7704.7548 0.0 319.7906 
432 -7740.6383 -7740.6383 0.0 314.1137 
433 -7740.6239 -7740.6239 0.0 314.2434 
434 -7740.6383 -7740.6383 0.0 314.1269 
435 -7750.9761 -7750.9761 0.0 313.9136 
436 -7723.0585 -7723.0585 0.0 313.8888 
437 -7751.9243 -7751.9243 0.0 313.9618 
438 -7751.9173 -7751.9173 0.0 313.957 
439 -7751.9244 -7751.9244 0.0 313.9613 
440 -7762.5587 -7762.5587 0.0 315.3622 
441 -7736.0603 -7736.0603 0.0 316.8932 
442 -7763.362 -7763.362 0.0 315.0674 
443 -7763.3551 -7763.3551 0.0 315.097 
444 -7763.3619 -7763.3619 0.0 315.0704 
445 -7773.0699 -7773.0699 0.0 322.7243 
446 -7743.4937 -7743.4937 0.0 330.3369 
447 -7774.2944 -7774.2944 0.0 320.8176 
448 -7774.2829 -7774.2829 0.0 321.0089 
449 -7774.2945 -7774.2945 0.0 320.8366 
450 -7782.3166 -7782.3166 0.0 320.7871 
451 -7746.9702 -7746.9702 0.0 320.4798 
