frame    mol1
    0      NA
    1   0.970
    2   1.147
    3   1.135
    4   1.455
    5   1.255
    6   1.336
    7   1.305
    8   1.317
    9   1.194
   10   1.158
   11   1.258
   12   1.086
   13   1.180
   14   1.066
   15   1.172
   16   1.377
   17   1.390
   18   1.375
   19   1.501
   20   1.467
   21   1.629
   22   1.698
   23   1.561
   24   1.557
   25   1.548
   26   1.815
   27   1.999
   28   1.853
   29   1.669
   30   1.743
   31   1.603
   32   1.706
   33   1.589
   34   1.758
   35   2.018
   36   1.881
   37   1.873
   38   1.848
   39   1.976
   40   2.131
   41   1.978
   42   2.042
   43   2.061
   44   1.930
   45   2.036
   46   2.147
   47   1.922
   48   2.012
   49   1.943
   50   1.893
   51   2.009
   52   2.123
   53   2.040
   54   2.041
   55   1.930
   56   2.062
   57   1.951
   58   2.093
   59   1.955
   60   2.098
   61   1.982
   62   1.948
   63   2.110
   64   2.172
   65   2.240
   66   2.052
   67   2.239
   68   2.199
   69   2.105
   70   2.370
   71   2.135
   72   2.231
   73   2.264
   74   2.570
   75   2.461
   76   2.475
   77   2.511
   78   2.516
   79   2.588
   80   2.697
   81   2.488
   82   2.460
   83   2.470
   84   2.546
   85   2.543
   86   2.519
   87   2.560
   88   2.513
   89   2.493
   90   2.487
   91   2.564
   92   2.425
   93   2.590
   94   2.512
   95   2.556
   96   2.486
   97   2.585
   98   2.491
   99   2.411
  100   2.566
  101   2.516

