frame    mol1
    0      NA
    1   1.838
    2   2.761
    3   2.108
    4   3.783
    5   3.033
    6   3.510
    7   3.212
    8   3.673
    9   2.946
   10   2.625
   11   3.171
   12   2.277
   13   2.251
   14   2.091
   15   2.179
   16   3.738
   17   3.963
   18   3.922
   19   4.766
   20   4.629
   21   5.376
   22   5.756
   23   5.101
   24   4.737
   25   4.716
   26   6.076
   27   7.257
   28   6.307
   29   5.196
   30   5.943
   31   5.073
   32   5.643
   33   5.009
   34   5.764
   35   6.811
   36   6.511
   37   6.319
   38   6.273
   39   6.782
   40   7.541
   41   6.610
   42   7.149
   43   7.063
   44   6.507
   45   6.938
   46   7.461
   47   5.958
   48   6.796
   49   6.636
   50   6.407
   51   6.882
   52   7.405
   53   7.015
   54   6.796
   55   6.489
   56   7.100
   57   6.773
   58   7.478
   59   6.822
   60   7.521
   61   6.751
   62   6.717
   63   7.276
   64   7.394
   65   7.649
   66   7.051
   67   7.916
   68   7.616
   69   7.200
   70   8.014
   71   7.329
   72   7.271
   73   7.201
   74   8.421
   75   7.825
   76   8.072
   77   8.304
   78   8.242
   79   8.766
   80   9.363
   81   8.549
   82   8.352
   83   8.052
   84   8.735
   85   8.515
   86   8.240
   87   8.381
   88   8.548
   89   8.221
   90   8.013
   91   8.575
   92   7.781
   93   8.707
   94   8.129
   95   8.569
   96   8.377
   97   8.742
   98   8.295
   99   8.121
  100   8.633
  101   8.772

